date,home,away,rushing_yards_opp_homeAvg,rushing_yards_homeAvg
9/5/2002,Giants,49ers,113,43
9/8/2002,Bengals,Chargers,241,36
9/8/2002,Panthers,Ravens,77,145
9/8/2002,Texans,Cowboys,155,87
9/8/2002,Buccaneers,Saints,118,72
9/8/2002,Broncos,Rams,32,104
9/8/2002,Jaguars,Colts,104,118
9/8/2002,Bears,Vikings,140,80
9/8/2002,Titans,Eagles,80,61
9/8/2002,Raiders,Seahawks,43,221
9/8/2002,Redskins,Cardinals,70,122
9/8/2002,Bills,Jets,73,142
9/8/2002,Packers,Falcons,180,181
9/8/2002,Browns,Chiefs,194,59
9/8/2002,Dolphins,Lions,51,182
9/9/2002,Patriots,Steelers,74,63
9/15/2002,Ravens,Buccaneers,74,55
9/15/2002,Jets,Patriots,163,32
9/15/2002,Falcons,Bears,106,122
9/15/2002,Colts,Dolphins,163,143
9/15/2002,Seahawks,Cardinals,249,81
9/15/2002,49ers,Broncos,201,71
9/15/2002,Chiefs,Jaguars,130,140
9/15/2002,Steelers,Raiders,95,72
9/15/2002,Browns,Bengals,156,75
9/15/2002,Cowboys,Titans,98,67
9/15/2002,Rams,Giants,103,92
9/15/2002,Chargers,Texans,89,124
9/15/2002,Panthers,Lions,73,75
9/15/2002,Saints,Packers,95,146
9/15/2002,Vikings,Bills,31,213
9/16/2002,Redskins,Eagles,168,89
9/22/2002,Texans,Colts,88,126
9/22/2002,Giants,Seahawks,40,94
9/22/2002,Vikings,Panthers,164,73
9/22/2002,Cardinals,Chargers,125,97
9/22/2002,49ers,Redskins,57,252
9/22/2002,Bears,Saints,73,125
9/22/2002,Broncos,Bills,39,163
9/22/2002,Titans,Browns,92,86
9/22/2002,Dolphins,Jets,58,211
9/22/2002,Falcons,Bengals,66,143
9/22/2002,Lions,Packers,95,95
9/22/2002,Patriots,Chiefs,221,97
9/22/2002,Eagles,Cowboys,121,153
9/23/2002,Buccaneers,Rams,89,63
9/29/2002,Bengals,Buccaneers,101,74
9/29/2002,Rams,Cowboys,122,93
9/29/2002,Steelers,Browns,123,93
9/29/2002,Packers,Panthers,139,99
9/29/2002,Cardinals,Giants,67,102
9/29/2002,Chargers,Patriots,87,238
9/29/2002,Lions,Saints,110,85
9/29/2002,Jaguars,Jets,78,223
9/29/2002,Bills,Bears,52,103
9/29/2002,Eagles,Texans,91,102
9/29/2002,Seahawks,Vikings,194,159
9/29/2002,Chiefs,Dolphins,105,122
9/29/2002,Raiders,Titans,43,90
9/30/2002,Ravens,Broncos,97,84
10/6/2002,Falcons,Buccaneers,74,70
10/6/2002,Panthers,Cardinals,91,58
10/6/2002,Titans,Redskins,156,59
10/6/2002,Cowboys,Giants,104,95
10/6/2002,Browns,Ravens,201,62
10/6/2002,Jets,Chiefs,215,147
10/6/2002,Broncos,Chargers,79,117
10/6/2002,Dolphins,Patriots,37,137
10/6/2002,Colts,Bengals,173,87
10/6/2002,Jaguars,Eagles,199,70
10/6/2002,Bills,Raiders,142,80
10/6/2002,Saints,Steelers,120,121
10/6/2002,49ers,Rams,88,179
10/7/2002,Bears,Packers,124,45
10/13/2002,Bengals,Steelers,211,78
10/13/2002,Giants,Falcons,67,113
10/13/2002,Patriots,Packers,158,123
10/13/2002,Cowboys,Panthers,110,137
10/13/2002,Buccaneers,Browns,60,186
10/13/2002,Colts,Ravens,105,60
10/13/2002,Broncos,Dolphins,58,111
10/13/2002,Titans,Jaguars,130,152
10/13/2002,Texans,Bills,173,141
10/13/2002,Redskins,Saints,119,54
10/13/2002,Rams,Raiders,65,158
10/13/2002,Vikings,Lions,53,111
10/13/2002,Chargers,Chiefs,88,153
10/14/2002,Seahawks,49ers,161,123
10/20/2002,Cardinals,Cowboys,148,152
10/20/2002,Dolphins,Bills,132,132
10/20/2002,Ravens,Jaguars,173,118
10/20/2002,Jets,Vikings,101,91
10/20/2002,Eagles,Buccaneers,81,159
10/20/2002,Raiders,Chargers,172,37
10/20/2002,Lions,Bears,89,192
10/20/2002,Falcons,Panthers,101,187
10/20/2002,Packers,Redskins,146,88
10/20/2002,Browns,Texans,89,89
10/20/2002,Chiefs,Broncos,141,162
10/20/2002,Saints,49ers,143,179
10/20/2002,Rams,Seahawks,50,218
10/21/2002,Steelers,Colts,72,182
10/27/2002,Panthers,Buccaneers,71,110
10/27/2002,Cowboys,Seahawks,97,105
10/27/2002,Patriots,Broncos,136,69
10/27/2002,Ravens,Steelers,104,67
10/27/2002,Jaguars,Texans,81,126
10/27/2002,Chiefs,Raiders,83,133
10/27/2002,Jets,Browns,55,66
10/27/2002,Bills,Lions,83,74
10/27/2002,Bengals,Titans,134,191
10/27/2002,Vikings,Bears,44,148
10/27/2002,Redskins,Colts,63,165
10/27/2002,Saints,Falcons,260,159
10/27/2002,49ers,Cardinals,151,105
10/28/2002,Eagles,Giants,103,295
11/3/2002,Seahawks,Redskins,146,84
11/3/2002,Texans,Bengals,127,82
11/3/2002,Bills,Patriots,159,65
11/3/2002,Lions,Cowboys,71,52
11/3/2002,Bears,Eagles,117,74
11/3/2002,Chargers,Jets,165,73
11/3/2002,Cardinals,Rams,192,64
11/3/2002,Colts,Titans,121,80
11/3/2002,Falcons,Ravens,153,126
11/3/2002,Browns,Steelers,136,36
11/3/2002,Raiders,49ers,152,81
11/3/2002,Giants,Jaguars,126,177
11/3/2002,Buccaneers,Vikings,173,133
11/4/2002,Packers,Dolphins,143,104
11/10/2002,Cardinals,Seahawks,151,111
11/10/2002,Jets,Dolphins,69,97
11/10/2002,Eagles,Colts,127,105
11/10/2002,Titans,Texans,68,142
11/10/2002,49ers,Chiefs,80,155
11/10/2002,Vikings,Giants,169,224
11/10/2002,Panthers,Saints,97,100
11/10/2002,Jaguars,Redskins,68,142
11/10/2002,Rams,Chargers,126,71
11/10/2002,Bears,Patriots,82,125
11/10/2002,Steelers,Falcons,168,182
11/10/2002,Ravens,Bengals,123,162
11/10/2002,Packers,Lions,126,150
11/11/2002,Broncos,Raiders,27,77
11/17/2002,Seahawks,Broncos,202,51
11/17/2002,Lions,Jets,189,108
11/17/2002,Chiefs,Bills,133,128
11/17/2002,Giants,Redskins,60,88
11/17/2002,Colts,Cowboys,84,110
11/17/2002,Chargers,49ers,136,105
11/17/2002,Bengals,Browns,140,102
11/17/2002,Texans,Jaguars,122,78
11/17/2002,Buccaneers,Panthers,63,67
11/17/2002,Falcons,Saints,80,155
11/17/2002,Dolphins,Ravens,66,116
11/17/2002,Raiders,Patriots,48,97
11/17/2002,Vikings,Packers,71,218
11/17/2002,Titans,Steelers,45,121
11/17/2002,Eagles,Cardinals,124,212
11/18/2002,Rams,Bears,103,61
11/24/2002,Panthers,Falcons,149,71
11/24/2002,Ravens,Titans,121,112
11/24/2002,Saints,Browns,163,74
11/24/2002,Texans,Giants,168,123
11/24/2002,Bears,Lions,102,75
11/24/2002,Redskins,Rams,84,127
11/24/2002,Broncos,Colts,128,113
11/24/2002,Cardinals,Raiders,187,132
11/24/2002,Buccaneers,Packers,96,93
11/24/2002,Cowboys,Jaguars,132,118
11/24/2002,Patriots,Vikings,153,80
11/24/2002,Steelers,Bengals,54,156
11/24/2002,Dolphins,Chargers,64,222
11/24/2002,Jets,Bills,88,155
11/24/2002,Seahawks,Chiefs,217,180
11/25/2002,49ers,Eagles,107,104
11/28/2002,Lions,Patriots,139,82
11/28/2002,Cowboys,Redskins,83,211
12/1/2002,Browns,Panthers,145,140
12/1/2002,Eagles,Rams,76,108
12/1/2002,Colts,Texans,65,88
12/1/2002,Saints,Buccaneers,34,102
12/1/2002,Jaguars,Steelers,219,102
12/1/2002,Bengals,Ravens,148,78
12/1/2002,Vikings,Falcons,227,139
12/1/2002,Giants,Titans,142,62
12/1/2002,Packers,Bears,74,181
12/1/2002,Chargers,Broncos,156,220
12/1/2002,49ers,Seahawks,80,142
12/1/2002,Bills,Dolphins,270,161
12/1/2002,Chiefs,Cardinals,26,216
12/2/2002,Raiders,Jets,32,98
12/8/2002,Steelers,Texans,37,128
12/8/2002,Chargers,Raiders,67,65
12/8/2002,Jets,Broncos,111,64
12/8/2002,Jaguars,Browns,173,157
12/8/2002,Seahawks,Eagles,126,172
12/8/2002,Redskins,Giants,111,132
12/8/2002,Cardinals,Lions,51,133
12/8/2002,Ravens,Saints,150,114
12/8/2002,Packers,Vikings,191,124
12/8/2002,Titans,Colts,92,119
12/8/2002,Patriots,Bills,78,92
12/8/2002,Cowboys,49ers,125,110
12/8/2002,Buccaneers,Falcons,62,150
12/8/2002,Chiefs,Rams,33,180
12/8/2002,Panthers,Bengals,83,82
12/9/2002,Dolphins,Bears,107,248
12/15/2002,49ers,Packers,104,107
12/15/2002,Bengals,Jaguars,109,65
12/15/2002,Texans,Ravens,70,95
12/15/2002,Bills,Chargers,116,155
12/15/2002,Bears,Jets,134,105
12/15/2002,Lions,Buccaneers,123,144
12/15/2002,Dolphins,Raiders,56,121
12/15/2002,Browns,Colts,143,96
12/15/2002,Falcons,Seahawks,166,150
12/15/2002,Steelers,Panthers,50,129
12/15/2002,Rams,Cardinals,129,66
12/15/2002,Broncos,Chiefs,185,197
12/15/2002,Saints,Vikings,146,78
12/15/2002,Eagles,Redskins,86,110
12/15/2002,Giants,Cowboys,104,157
12/16/2002,Titans,Patriots,56,238
12/21/2002,Cowboys,Eagles,114,68
12/21/2002,Cardinals,49ers,106,108
12/21/2002,Vikings,Dolphins,69,129
12/22/2002,Packers,Bills,43,119
12/22/2002,Jaguars,Titans,175,75
12/22/2002,Ravens,Browns,63,146
12/22/2002,Patriots,Jets,108,97
12/22/2002,Bengals,Saints,33,240
12/22/2002,Panthers,Bears,55,88
12/22/2002,Chiefs,Chargers,148,53
12/22/2002,Redskins,Texans,67,247
12/22/2002,Colts,Giants,103,50
12/22/2002,Raiders,Broncos,81,136
12/22/2002,Seahawks,Rams,17,100
12/22/2002,Falcons,Lions,87,197
12/23/2002,Buccaneers,Steelers,94,74
12/28/2002,Giants,Eagles,65,213
12/28/2002,Raiders,Chiefs,44,280
12/29/2002,Bears,Buccaneers,161,85
12/29/2002,Texans,Titans,140,28
12/29/2002,Saints,Panthers,85,125
12/29/2002,Colts,Jaguars,154,126
12/29/2002,Redskins,Cowboys,38,151
12/29/2002,Browns,Falcons,105,189
12/29/2002,Bills,Bengals,84,99
12/29/2002,Patriots,Dolphins,256,116
12/29/2002,Chargers,Seahawks,163,88
12/29/2002,Steelers,Ravens,114,175
12/29/2002,Lions,Vikings,154,93
12/29/2002,Broncos,Cardinals,84,259
12/29/2002,Jets,Packers,114,129
12/30/2002,Rams,49ers,193,35
1/4/2003,Packers,Falcons,192,56
1/4/2003,Jets,Colts,52,180
1/5/2003,Steelers,Browns,38,89
1/5/2003,49ers,Giants,119,90
1/11/2003,Eagles,Falcons,93,91
1/11/2003,Titans,Steelers,67,99
1/12/2003,Raiders,Jets,120,127
1/12/2003,Buccaneers,49ers,62,121
1/19/2003,Eagles,Buccaneers,49,80
1/19/2003,Raiders,Titans,138,89
1/26/2003,Buccaneers,Raiders,19,150
9/4/2003,Redskins,Jets,57,160
9/7/2003,Browns,Colts,67,98
9/7/2003,Bengals,Broncos,184,51
9/7/2003,Cowboys,Falcons,98,149
9/7/2003,Dolphins,Texans,127,86
9/7/2003,Giants,Rams,40,149
9/7/2003,Panthers,Jaguars,75,122
9/7/2003,Titans,Raiders,34,76
9/7/2003,Packers,Vikings,154,62
9/7/2003,Seahawks,Saints,96,151
9/7/2003,Chiefs,Chargers,64,131
9/7/2003,Bills,Patriots,105,107
9/7/2003,Steelers,Ravens,88,88
9/7/2003,Lions,Cardinals,95,66
9/7/2003,49ers,Bears,55,162
9/8/2003,Eagles,Buccaneers,90,121
9/14/2003,Cardinals,Seahawks,130,93
9/14/2003,Buccaneers,Panthers,88.18653294,100.8924635
9/14/2003,Jets,Dolphins,187,21
9/14/2003,Eagles,Patriots,62,100
9/14/2003,Chargers,Broncos,197,121
9/14/2003,Jaguars,Bills,43,95
9/14/2003,Raiders,Bengals,99.84394405,104.4764135
9/14/2003,Vikings,Bears,80,202
9/14/2003,Rams,49ers,148,88
9/14/2003,Packers,Lions,56,200
9/14/2003,Saints,Texans,75,110
9/14/2003,Falcons,Redskins,125,99
9/14/2003,Colts,Titans,53,127
9/14/2003,Ravens,Browns,60,343
9/14/2003,Chiefs,Steelers,60,159
9/15/2003,Giants,Cowboys,107,53
9/21/2003,Bengals,Steelers,138,57
9/21/2003,Chargers,Ravens,152,132
9/21/2003,Falcons,Buccaneers,125.6788552,137.7947863
9/21/2003,49ers,Browns,94.63697026,136.4817442
9/21/2003,Lions,Vikings,127,77
9/21/2003,Texans,Chiefs,168,107
9/21/2003,Dolphins,Bills,41,166
9/21/2003,Cardinals,Packers,66,81
9/21/2003,Redskins,Giants,129,124
9/21/2003,Colts,Jaguars,152,73
9/21/2003,Patriots,Jets,65,147
9/21/2003,Seahawks,Rams,82,96
9/21/2003,Titans,Saints,75.00379131,116.6472103
9/22/2003,Broncos,Raiders,39,190
9/28/2003,Jets,Cowboys,133.6813796,87.04066818
9/28/2003,Ravens,Chiefs,129,202
9/28/2003,Bills,Eagles,176,21
9/28/2003,Steelers,Titans,97.38931399,110.0466312
9/28/2003,Browns,Bengals,154.3565111,92.59239525
9/28/2003,Broncos,Lions,144,79
9/28/2003,Redskins,Patriots,106,119
9/28/2003,Saints,Colts,100,155
9/28/2003,Panthers,Falcons,144,193
9/28/2003,Texans,Jaguars,79,110
9/28/2003,Raiders,Chargers,103.1195793,95.21743218
9/28/2003,Vikings,49ers,145,102
9/28/2003,Rams,Cardinals,36,133
9/29/2003,Bears,Packers,187,181
10/5/2003,Giants,Dolphins,98.91586464,113.7995364
10/5/2003,Steelers,Browns,91.17095848,115.3155595
10/5/2003,Panthers,Saints,155,185
10/5/2003,Bills,Bengals,127.8051542,82.76780851
10/5/2003,Cowboys,Cardinals,32,97
10/5/2003,49ers,Lions,85.46175877,130.7870236
10/5/2003,Bears,Raiders,119,200
10/5/2003,Chiefs,Broncos,106.9206133,149.0084589
10/5/2003,Falcons,Vikings,125.7390801,114.4261424
10/5/2003,Jaguars,Chargers,106.1580626,119.4987356
10/5/2003,Eagles,Redskins,93.77759078,123.5434432
10/5/2003,Packers,Seahawks,112.4695746,110.148794
10/5/2003,Patriots,Titans,116.4013934,99.30453048
10/6/2003,Buccaneers,Colts,107.6619262,93.70368667
10/12/2003,Jaguars,Dolphins,106.7670513,113.5974545
10/12/2003,Browns,Raiders,131.5862927,84.44285072
10/12/2003,Redskins,Buccaneers,103.0883265,126.6996543
10/12/2003,Patriots,Giants,117.6977029,101.0718702
10/12/2003,Broncos,Steelers,94.53854376,154.3205243
10/12/2003,Cardinals,Ravens,116.747776,92.56095706
10/12/2003,Saints,Bears,117.1133764,101.326475
10/12/2003,Seahawks,49ers,120.2506846,118.7055074
10/12/2003,Colts,Panthers,120.1174238,91.84286507
10/12/2003,Cowboys,Eagles,94.64199877,129.6038546
10/12/2003,Jets,Bills,135.0452228,84.94305586
10/12/2003,Packers,Chiefs,121.6975928,121.6497497
10/12/2003,Titans,Texans,73.5975551,97.99879561
10/13/2003,Rams,Falcons,123.1421857,77.65353977
10/19/2003,Lions,Cowboys,123.8910514,90.65950469
10/19/2003,Giants,Eagles,107.4811753,112.1279109
10/19/2003,Dolphins,Patriots,81.22929677,149.8525352
10/19/2003,Texans,Jets,119.787541,94.25390257
10/19/2003,Panthers,Titans,108.4705173,136.3901601
10/19/2003,Falcons,Saints,141.7803667,117.1750382
10/19/2003,Browns,Chargers,122.968176,89.5598782
10/19/2003,Bills,Redskins,125.2418881,74.23043122
10/19/2003,49ers,Buccaneers,87.86701457,130.631891
10/19/2003,Seahawks,Bears,123.9630492,121.7225498
10/19/2003,Vikings,Broncos,98.21051198,150.9335301
10/19/2003,Rams,Packers,110.7356781,86.77366106
10/19/2003,Bengals,Ravens,123.6200394,94.02955878
10/20/2003,Raiders,Chiefs,141.2673137,94.36206835
10/26/2003,Patriots,Browns,106.3807189,110.7568946
10/26/2003,Buccaneers,Cowboys,90.55563725,107.2123584
10/26/2003,Cardinals,49ers,114.7910175,81.33428507
10/26/2003,Vikings,Giants,100.3084726,151.7424336
10/26/2003,Jaguars,Titans,101.0430947,114.5389991
10/26/2003,Saints,Panthers,128.4010418,111.1080528
10/26/2003,Steelers,Rams,87.7193753,102.5910894
10/26/2003,Bears,Lions,148.7869781,115.43321
10/26/2003,Eagles,Jets,81.94119192,128.6607124
10/26/2003,Ravens,Broncos,104.3911723,169.8615872
10/26/2003,Bengals,Seahawks,118.6987213,89.16994796
10/26/2003,Colts,Texans,122.513716,89.54417829
10/26/2003,Chiefs,Bills,136.410428,134.4633238
10/27/2003,Chargers,Dolphins,134.1176805,123.0926389
11/2/2003,Texans,Panthers,122.1557651,102.9257499
11/2/2003,Buccaneers,Saints,106.0435323,100.8884916
11/2/2003,Falcons,Eagles,139.5634824,112.7650988
11/2/2003,Cardinals,Bengals,126.8421611,82.12928228
11/2/2003,Dolphins,Colts,78.5735357,134.5358646
11/2/2003,Bears,Chargers,146.9981274,111.6581019
11/2/2003,Cowboys,Redskins,87.49862539,125.8050779
11/2/2003,Lions,Raiders,128.7337297,89.10855313
11/2/2003,Seahawks,Steelers,116.0377624,127.2892316
11/2/2003,Ravens,Jaguars,98.73177005,165.1006235
11/2/2003,Vikings,Packers,103.9954897,142.9291783
11/2/2003,Jets,Giants,132.4688059,93.11860135
11/2/2003,49ers,Rams,89.79715915,136.9699075
11/3/2003,Broncos,Patriots,96.47989882,146.1817273
11/9/2003,Giants,Falcons,112.3599449,113.6219437
11/9/2003,Cowboys,Bills,92.20167456,118.0781425
11/9/2003,Lions,Bears,121.8002721,88.09054329
11/9/2003,Raiders,Jets,142.2525153,95.78385334
11/9/2003,Redskins,Seahawks,114.6828323,105.0270686
11/9/2003,Panthers,Buccaneers,108.5560031,142.3515194
11/9/2003,Steelers,Cardinals,87.15831453,96.26172839
11/9/2003,Jaguars,Colts,102.4264499,103.2719098
11/9/2003,Titans,Dolphins,78.7187416,101.5026861
11/9/2003,Rams,Ravens,105.8502945,95.49075637
11/9/2003,Bengals,Texans,119.0266912,98.84428582
11/9/2003,Chiefs,Browns,132.6845485,133.5679438
11/9/2003,Chargers,Vikings,125.3158541,130.9373804
11/10/2003,Packers,Eagles,120.5148473,132.601753
11/16/2003,Dolphins,Ravens,85.35431735,119.4507168
11/16/2003,Titans,Jaguars,74.11907883,104.3144918
11/16/2003,Bills,Texans,115.0431009,91.34710184
11/16/2003,Patriots,Cowboys,100.4342733,105.0089172
11/16/2003,Buccaneers,Packers,102.2493616,99.69709736
11/16/2003,Panthers,Redskins,109.8769886,147.1768176
11/16/2003,Bears,Rams,133.4576973,110.4125705
11/16/2003,Saints,Falcons,139.7149878,115.774129
11/16/2003,Bengals,Chiefs,124.2248858,91.99047976
11/16/2003,Eagles,Giants,101.5707696,126.8063451
11/16/2003,Raiders,Vikings,138.7686297,95.85078115
11/16/2003,Seahawks,Lions,121.2603052,122.954836
11/16/2003,Broncos,Chargers,102.7160515,142.0376062
11/16/2003,Colts,Jets,120.1723391,95.32108871
11/16/2003,Browns,Cardinals,125.6829005,98.80102905
11/17/2003,49ers,Steelers,102.8195786,134.2008612
11/23/2003,Browns,Steelers,123.0023248,96.96281943
11/23/2003,Broncos,Bears,99.89401271,139.5983657
11/23/2003,Jets,Jaguars,143.1133949,105.8041966
11/23/2003,Bills,Colts,115.3949222,91.04346531
11/23/2003,Packers,49ers,117.5269075,157.4202918
11/23/2003,Texans,Patriots,139.8041911,110.9099609
11/23/2003,Vikings,Lions,129.3707523,137.4658452
11/23/2003,Cowboys,Panthers,92.26388231,127.6158431
11/23/2003,Dolphins,Redskins,86.61395252,114.0288638
11/23/2003,Chiefs,Raiders,126.5934866,125.6320065
11/23/2003,Cardinals,Rams,114.0257763,103.8478617
11/23/2003,Chargers,Bengals,124.3432375,134.606601
11/23/2003,Falcons,Titans,139.1303669,123.3503917
11/23/2003,Eagles,Saints,116.4134826,123.3694001
11/23/2003,Ravens,Seahawks,97.35137831,156.4110264
11/24/2003,Buccaneers,Giants,98.63885917,98.07092923
11/27/2003,Cowboys,Dolphins,88.7295642,123.0107846
11/27/2003,Lions,Packers,118.8518712,81.84600329
11/30/2003,Giants,Bills,116.8347034,113.4987567
11/30/2003,Raiders,Broncos,138.3086088,113.2057471
11/30/2003,Panthers,Eagles,100.9078959,138.0270398
11/30/2003,Jaguars,Buccaneers,95.89877503,113.5706231
11/30/2003,Texans,Falcons,144.2029439,103.6917046
11/30/2003,Steelers,Bengals,96.9421864,88.95587998
11/30/2003,Redskins,Saints,125.0368823,100.73691
11/30/2003,Chargers,Chiefs,133.2160554,124.6452263
11/30/2003,Bears,Cardinals,119.1882058,105.9032334
11/30/2003,Seahawks,Browns,117.656877,128.122597
11/30/2003,Colts,Patriots,125.857504,96.32094923
11/30/2003,Ravens,49ers,101.5978241,153.4889597
11/30/2003,Rams,Vikings,114.3940069,81.99380393
12/1/2003,Jets,Titans,144.4411766,108.5197894
12/7/2003,Lions,Chargers,119.7189019,81.51431449
12/7/2003,Saints,Buccaneers,140.3964969,131.7700347
12/7/2003,Giants,Redskins,113.0625759,109.4529528
12/7/2003,Patriots,Dolphins,98.28008711,99.88118259
12/7/2003,Bills,Jets,106.8969391,100.9719655
12/7/2003,Falcons,Panthers,146.3252724,117.0201825
12/7/2003,Jaguars,Texans,91.44926133,117.6284795
12/7/2003,Steelers,Raiders,95.93277347,91.49411034
12/7/2003,Titans,Colts,73.31403876,106.0036267
12/7/2003,Ravens,Bengals,104.2346966,153.1652868
12/7/2003,Vikings,Seahawks,130.8555015,131.283177
12/7/2003,Packers,Bears,116.1665214,169.3869758
12/7/2003,Eagles,Cowboys,123.1824052,124.0478186
12/7/2003,Broncos,Chiefs,94.53571001,151.1174605
12/7/2003,49ers,Cardinals,103.2875486,133.6567364
12/8/2003,Browns,Rams,114.7039307,96.97731432
12/14/2003,Redskins,Cowboys,132.8495479,108.5837209
12/14/2003,Jets,Steelers,141.4479066,101.6113467
12/14/2003,Bears,Vikings,120.1405722,110.3960597
12/14/2003,Buccaneers,Texans,108.2238824,101.8096174
12/14/2003,Cardinals,Panthers,114.4226169,98.54721922
12/14/2003,Raiders,Ravens,145.1901173,117.5837474
12/14/2003,Chargers,Packers,145.8689834,127.8205843
12/14/2003,Broncos,Browns,97.7763233,155.9509304
12/14/2003,Patriots,Jaguars,97.89708178,96.09751622
12/14/2003,Rams,Seahawks,126.1386305,89.13205809
12/14/2003,Titans,Bills,74.9219446,103.7881428
12/14/2003,Colts,Falcons,118.9911373,96.46465888
12/14/2003,Bengals,49ers,115.4898265,123.5407578
12/14/2003,Saints,Giants,142.8261708,137.4830322
12/14/2003,Chiefs,Lions,139.2810725,128.4093879
12/15/2003,Dolphins,Eagles,92.11289056,119.9924694
12/20/2003,Jets,Patriots,147.3480104,101.3813384
12/20/2003,Buccaneers,Falcons,107.3057646,101.5857249
12/20/2003,Vikings,Chiefs,125.4887921,139.2624867
12/21/2003,Browns,Ravens,119.2572474,97.05065744
12/21/2003,Bills,Dolphins,97.33803604,114.1621252
12/21/2003,Colts,Broncos,116.8114565,97.74810504
12/21/2003,Cowboys,Giants,98.22247746,119.3410071
12/21/2003,Panthers,Lions,111.3919206,130.3569178
12/21/2003,Jaguars,Saints,88.82206572,126.6141643
12/21/2003,Texans,Titans,142.6376942,103.2202459
12/21/2003,Rams,Bengals,129.5576234,92.00513355
12/21/2003,Bears,Redskins,118.8907332,104.7548497
12/21/2003,Seahawks,Cardinals,119.5663009,125.9006234
12/21/2003,Eagles,49ers,127.4254539,128.8495768
12/21/2003,Steelers,Chargers,100.0837929,91.9740017
12/22/2003,Raiders,Packers,145.2594396,118.6728838
12/27/2003,Redskins,Eagles,140.4331276,112.0788374
12/27/2003,49ers,Seahawks,111.1512076,142.9730838
12/27/2003,Patriots,Bills,92.60762525,94.37176319
12/28/2003,Saints,Cowboys,136.8264894,134.615174
12/28/2003,Ravens,Steelers,101.3692407,157.0569353
12/28/2003,Bengals,Browns,128.0319163,131.2274514
12/28/2003,Texans,Colts,143.8614411,99.78954289
12/28/2003,Cardinals,Vikings,117.9246874,100.7099267
12/28/2003,Falcons,Jaguars,144.5071147,121.5197714
12/28/2003,Chargers,Raiders,133.5137278,125.7950717
12/28/2003,Dolphins,Jets,95.63585592,119.3901011
12/28/2003,Giants,Panthers,120.6720046,103.9475248
12/28/2003,Lions,Rams,117.258317,84.9592974
12/28/2003,Chiefs,Bears,149.2894469,123.7426723
12/28/2003,Packers,Broncos,105.8687088,149.1532041
12/28/2003,Titans,Buccaneers,79.35823318,100.7462042
1/3/2004,Ravens,Titans,99.76261666,166.7371538
1/3/2004,Panthers,Cowboys,110.5655444,125.4402177
1/4/2004,Packers,Seahawks,104.677117,150.0167258
1/4/2004,Colts,Broncos,126.9184475,100.0896241
1/10/2004,Patriots,Titans,94.0584136,96.97662326
1/10/2004,Rams,Panthers,127.8043974,95.91887675
1/11/2004,Eagles,Packers,137.2701306,126.7240826
1/11/2004,Chiefs,Colts,156.7028484,121.1364106
1/18/2004,Eagles,Panthers,133.624511,123.5165014
1/18/2004,Patriots,Colts,93.29929154,99.69523219
2/1/2004,Patriots,Panthers,91.74284899,99.8925785
9/9/2004,Patriots,Colts,92.04488096,100.845365
9/11/2004,Dolphins,Titans,93.05024669,118.6377931
9/12/2004,Saints,Seahawks,146.683131,129.0140866
9/12/2004,Bills,Jaguars,96.55927493,108.5941023
9/12/2004,Redskins,Buccaneers,143.7092649,106.9003684
9/12/2004,Bears,Lions,116.9269687,110.9902224
9/12/2004,Rams,Cardinals,125.9832613,92.36186625
9/12/2004,49ers,Falcons,109.3663468,148.291849
9/12/2004,Browns,Ravens,134.7611473,94.45845995
9/12/2004,Texans,Chargers,147.5871703,99.49055078
9/12/2004,Steelers,Raiders,108.5847273,98.39241921
9/12/2004,Eagles,Giants,138.6122688,127.3305898
9/12/2004,Jets,Bengals,143.0403132,107.7386931
9/12/2004,Broncos,Chiefs,103.8686148,167.2704669
9/12/2004,Vikings,Cowboys,120.1673592,148.8502987
9/13/2004,Panthers,Packers,104.9976742,133.4469981
9/19/2004,Buccaneers,Seahawks,107.6540475,103.6707326
9/19/2004,Jaguars,Broncos,89.69936448,133.6554455
9/19/2004,Packers,Bears,106.0928413,158.2029386
9/19/2004,Cardinals,Patriots,123.2871968,96.6590336
9/19/2004,Raiders,Bills,157.8331021,114.9283112
9/19/2004,Bengals,Dolphins,140.0629536,128.6693019
9/19/2004,Chiefs,Panthers,151.1060721,123.1787166
9/19/2004,Titans,Colts,81.22572823,108.3133821
9/19/2004,Cowboys,Browns,92.2723424,118.5363746
9/19/2004,Giants,Redskins,118.6633231,97.33933567
9/19/2004,Lions,Texans,111.4006081,85.07987523
9/19/2004,Chargers,Jets,138.1802112,135.4083375
9/19/2004,Ravens,Steelers,100.9900552,157.0793829
9/19/2004,Saints,49ers,142.2103583,123.1927762
9/19/2004,Falcons,Rams,142.1428176,125.7208526
9/20/2004,Eagles,Vikings,140.3756094,128.4810918
9/26/2004,Dolphins,Steelers,113.0899013,103.2357641
9/26/2004,Falcons,Cardinals,130.668047,119.0447917
9/26/2004,Bengals,Ravens,158.0019932,125.7545117
9/26/2004,Titans,Jaguars,77.87646374,122.8743666
9/26/2004,Lions,Eagles,115.0080367,82.72603724
9/26/2004,Chiefs,Texans,159.8321772,133.1387651
9/26/2004,Broncos,Chargers,115.1870671,171.7860471
9/26/2004,Rams,Saints,126.8958201,109.204412
9/26/2004,Giants,Browns,124.2941599,113.470263
9/26/2004,Vikings,Bears,106.0836874,145.6958793
9/26/2004,Raiders,Buccaneers,146.8753434,102.7480066
